雙和聯盟19季,2023/03/19,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
蝸牛租屋,3,2,4,7,11,,,,,,,,,,,,,,,
Super8,0,0,0,0,2,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,6,10,,1,,3,1,9,7,1;1,L,,,,,,,,
曾翔,28,4,5,,,1,4,,6,6,,,,,,,,,,
邱冠融,73,2,6,,4,,,4,8,7,1;0,,,,,,,,,
何世馨,66,3,5,,1,,1,1,4,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6,,,,,,F,,,,,,,,,,,
1,劉祐宏,56,9,1;0,,,1,,,,G,,BB,,,,,,,
2,何世馨,66,8;1,2;0,,,1,,G,,K,,HBP,,,,,,,
3,洪暘昕,18,9;4,3;1,,,,2,H,,,BB,2B,,,,,,,
4,林凌,00,2,1;1,1;6;0,,,,F,,,K,,,,,,,,
5,鄭凱駿,2,5;6,2;1,,,,,,F,,K,,,,,,,,
6,邱冠融,73,DH;1;8,,,,,,,H,,HBP,,,,,,,,
7,張紘睿,5,4;5,1;0,,,,,,F,,K,,,,,,,,
8,蘇柏恩,23,3,,,,,,,F,,,K,,,,,,,
9,郭東昇,27,7,2;1,,,,,,,K,,,,,,,,,
9,曾翔,71,,,,,,,,,,,K,,,,,,,